크롤링 우선순위 리스트
====================
생성일시: 2025. 7. 21. 오전 12:07:33
총 대상 단지: 19868개

순위	점수	우선순위	거래량	단지명	위치
  98	51.0	3	 444	간석래미안자이	남동구 간석동
  99	51.0	3	 443	다대포현대	사하구 다대동
 100	51.0	3	 443	경동우신알프스타운	울주군 삼남읍 교동리
 101	50.9	3	 442	무등산아이파크	동구 학동
 102	50.9	3	 442	송도SKVIEW	연수구 송도동
 103	50.8	3	 440	관악산벽산타운5	금천구 시흥동
 104	50.8	3	 440	그린빌3차	북구 구암동
 105	50.8	3	 438	대현더샵	남구 야음동
 106	50.7	3	 437	삼익	북구 동림동
 107	50.7	3	 436	드림인시티에일린의뜰1차	북구 매곡동
 108	50.5	3	 433	광주첨단2지구사랑으로부영	북구 신용동
 109	50.5	3	 432	오토밸리로효성해링턴플레이스아파트	북구 매곡동
 110	50.5	3	 432	신흥아이파크	중구 신흥동3가
 111	50.5	3	 431	양정힐스테이트	북구 양정동
 112	50.4	3	 429	제일풍경채 프라임	달성군 다사읍 세천리
 113	50.3	3	 428	지사금강펜테리움	강서구 지사동
 114	50.3	3	 427	정관2차동원로얄듀크	기장군 정관읍 매학리
 115	50.3	3	 427	청라제일풍경채2차에듀앤파크	서구 청라동
 116	50.2	3	 426	동일스위트3차	기장군 정관읍 모전리
 117	50.1	3	 423	에코폴리스동화아이위시3차	달성군 다사읍 서재리
 118	50.1	3	 423	금곡3단지주공	북구 금곡동
 119	50.0	3	 421	담방마을	남동구 만수동
 120	50.0	3	 420	풍림아이원	미추홀구 학익동
 121	49.9	3	 418	DMC래미안e편한세상	서대문구 북가좌동
 122	49.8	3	 416	월배e-편한세상	달서구 월성동
 123	49.7	3	 414	개금주공3단지	부산진구 당감동
 124	49.7	3	 414	삼성코아루	북구 천곡동
 125	49.6	3	 412	동남	연수구 동춘동
 126	49.5	3	 410	주공5	동구 판암동
 127	49.5	3	 410	청솔4차	북구 일곡동
 128	49.5	3	 410	반포자이	서초구 반포동
 129	49.5	3	 409	도두리마을대동	계양구 작전동
 130	49.5	3	 409	녹번역e편한세상캐슬	은평구 응암동
 131	49.5	3	 408	선경2차	중구 우정동
 132	49.4	3	 407	한진(609-1)	성북구 돈암동
 133	49.4	3	 407	버드내1	중구 태평동
 134	49.4	3	 406	달성화성파크드림	달성군 구지면 응암리
 135	49.3	3	 405	대주파크빌	서구 금호동
 136	49.2	3	 402	롯데낙천대	북구 화명동
 137	49.2	3	 401	수정강변타운	북구 화명동
 138	49.1	3	 400	한진한화그랑빌	노원구 월계동
 139	49.1	3	 400	루원시티프라디움	서구 가정동
 140	49.1	3	 399	영종센트럴푸르지오자이	중구 운남동
 141	49.0	3	 398	가락타운3	사하구 하단동
 142	49.0	3	 398	행당한진타운	성동구 행당동
 143	49.0	3	 398	e편한세상영종국제도시오션하임	중구 중산동
 144	49.0	3	 396	대림쌍용강변타운	북구 화명동
 145	48.9	3	 395	상무버들마을주공2	서구 유촌동
 146	48.9	3	 394	평창리비에르2차	북구 명촌동
 147	48.9	3	 394	울산오토밸리로Z00M파크	북구 중산동
 148	48.9	3	 394	트리지움	송파구 잠실동
 149	48.8	3	 392	엘지메트로시티1	남구 용호동
 150	48.8	3	 392	이안동대구	동구 신암동
 151	48.7	3	 391	신세대지큐빌	사하구 장림동
 152	48.7	3	 390	하남주공(2단지)	광산구 우산동
 153	48.7	3	 390	월드스테이트(101~111,124~132)	미추홀구 주안동
 154	48.6	3	 387	신천효성해링턴플레이스	북구 신천동
 155	48.5	3	 386	하단동에스케이뷰	사하구 하단동
 156	48.5	3	 385	태강아파트(아이파크)	노원구 공릉동
 157	48.4	3	 382	미진이지비아	달성군 옥포읍 본리리
 158	48.4	3	 382	우신모라	사상구 모라동
 159	48.3	3	 381	관악푸르지오	관악구 봉천동
 160	48.3	3	 380	송도에듀포레푸르지오	연수구 송도동
 161	48.2	3	 379	가락(1차)쌍용아파트	송파구 가락동
 162	48.2	3	 379	SKVIEW	해운대구 좌동
 163	48.1	3	 377	덕천주공1	북구 덕천동
 164	48.1	3	 377	주공아파트 5단지	송파구 잠실동
 165	48.1	3	 377	대신센트럴자이	중구 대신동
 166	48.1	3	 376	강서힐스테이트	강서구 화곡동
 167	48.1	3	 376	운남주공4단지	광산구 운남동
 168	48.1	3	 376	수정타운	서구 둔산동
 169	48.0	3	 375	영종힐스테이트	중구 중산동
 170	48.0	3	 374	성서주공2	달서구 신당동
 171	48.0	3	 373	학마을서해	계양구 병방동
 172	47.9	3	 372	샘머리2차	서구 둔산동
 173	47.9	3	 371	대연파크푸르지오	남구 대연동
 174	47.9	3	 371	한신	도봉구 도봉동
 175	47.9	3	 371	월드	서구 불로동
 176	47.9	3	 371	대림e-편한세상	성동구 행당동
 177	47.8	3	 370	신정현대홈타운1	남구 야음동
 178	47.8	3	 370	중계무지개	노원구 중계동
 179	47.8	3	 370	드림인시티에일린의뜰2차	북구 매곡동
 180	47.8	3	 369	주공	북구 오치동
 181	47.7	3	 367	주공8단지	남동구 만수동
 182	47.7	3	 366	e편한세상범어	수성구 범어동
 183	47.7	3	 366	쌍용하나빌리지	울주군 청량읍 삼정리
 184	47.6	3	 365	평리푸르지오	서구 평리동
 185	47.6	3	 365	주공3	연수구 연수동
 186	47.6	3	 365	진잠타운	유성구 원내동
 187	47.6	3	 364	벽산블루밍장전디자인시티2단지	금정구 장전동
 188	47.6	3	 364	랜드마크시티센트럴더샵	연수구 송도동
 189	47.5	3	 363	운남주공8단지	광산구 운남동
 190	47.5	3	 363	빛고을파크	서구 쌍촌동
 191	47.5	3	 362	대구이시아폴리스더샵3차	동구 봉무동
 192	47.5	3	 362	문흥상록	북구 문흥동
 193	47.5	3	 362	우미광장	서구 풍암동
 194	47.4	3	 360	동화골든빌	북구 동천동
 195	47.4	3	 360	다대푸른	사하구 다대동
 196	47.4	3	 360	황실타운	서구 월평동
 197	47.4	3	 359	맑은아침	서구 내동
 198	47.4	3	 359	솔밭마을아파트	연수구 연수동
 199	47.4	3	 359	영등포푸르지오	영등포구 영등포동
 200	47.3	3	 358	옥현으뜸마을주공3	남구 무거동
 201	47.3	3	 358	제일풍경채센트럴	달성군 유가읍 봉리
 202	47.3	3	 358	래미안크레시티	동대문구 전농동
 203	47.3	3	 357	별메마을	달서구 도원동
 204	47.3	3	 357	정릉풍림아이원	성북구 정릉동
 205	47.2	3	 356	호반	광산구 비아동
 206	47.2	3	 356	월성주공5	달서구 본동
 207	47.2	3	 356	호반베르디움앤영무예다음	서구 청라동
 208	47.1	3	 354	세이지움개봉	구로구 개봉동
 209	47.1	3	 354	이지더원3차	기장군 정관읍 모전리
 210	47.1	3	 354	포스코더샵	남구 봉선동
 211	47.1	3	 354	송도글로벌파크베르디움	연수구 송도동
 212	47.1	3	 353	풍림	남동구 논현동
 213	47.1	3	 353	해운대 I PARK	해운대구 우동
 214	47.1	3	 352	정관양우내안愛	기장군 정관읍 용수리
 215	47.0	3	 351	래미안솔베뉴	강동구 명일동
 216	47.0	3	 351	지사과학삼정그린코아	강서구 지사동
 217	47.0	3	 351	명륜2차아이파크1단지	동래구 명륜동
 218	47.0	3	 351	도안18단지린풀하우스	서구 도안동
 219	46.9	3	 348	리버힐	광산구 우산동
 220	46.9	3	 348	월성푸르지오	달서구 월성동
 221	46.9	3	 348	삼환	사하구 다대동
 222	46.9	3	 348	함지그린	영도구 동삼동
 223	46.9	3	 347	관악드림(동아)	관악구 봉천동
 224	46.9	3	 347	대연자이	남구 대연동
 225	46.8	3	 346	국제그린	사하구 다대동
 226	46.8	3	 346	내방마을주공	서구 내방동
 227	46.8	3	 345	구봉마을주공7	서구 관저동
 228	46.8	3	 345	다운	중구 다운동
 229	46.8	3	 345	더샵센텀파크1차	해운대구 재송동
 230	46.7	3	 344	월성협성휴포레	달서구 월성동
 231	46.7	3	 344	동암신동아	부평구 십정동
 232	46.7	3	 343	우방드림시티	달서구 감삼동
 233	46.7	3	 343	안락SKVIEW	동래구 안락동
 234	46.6	3	 342	상계주공9(고층)	노원구 상계동
 235	46.6	3	 342	신동아아파트1	도봉구 방학동
 236	46.6	3	 342	센트럴파크대현	북구 대현동
 237	46.6	3	 341	죽동대원칸타빌	유성구 죽동
 238	46.5	3	 340	현대2차	부산진구 양정동
 239	46.5	3	 340	양우내안애더퍼스트	울주군 언양읍 송대리
 240	46.5	3	 339	한빛마을(성서주공3차)	달서구 이곡동
 241	46.5	3	 339	주공17단지	도봉구 창동
 242	46.5	3	 339	풍림아이원	동구 송림동
 243	46.5	3	 339	DMC파크뷰자이1단지	서대문구 남가좌동
 244	46.5	3	 338	명지두산위브포세이돈	강서구 명지동
 245	46.5	3	 338	주공1단지	남동구 논현동
 246	46.5	3	 338	관교한신휴플러스	미추홀구 주안동
 247	46.4	3	 337	명지더웨스턴	강서구 명지동
 248	46.4	3	 337	동아(1차)	부평구 부평동
 249	46.4	3	 337	하늘도시우미린2단지	중구 중산동
 250	46.4	3	 336	엘크루블루오션	강서구 명지동
 251	46.4	3	 336	호반베르디움2차	달성군 유가읍 봉리
 252	46.3	3	 335	화성센트럴파크	북구 동천동
 253	46.3	3	 335	연제롯데캐슬데시앙	연제구 연산동
 254	46.3	3	 333	울산신정푸르지오	남구 신정동
 255	46.3	3	 333	현대1차	부평구 산곡동
 256	46.3	3	 333	연산자이	연제구 연산동
 257	46.2	3	 332	우장산아이파크,이편한세상	강서구 화곡동
 258	46.2	3	 332	월성주공4단지	달서구 월성동
 259	46.2	3	 332	만석비치타운 주공아파트	동구 만석동
 260	46.2	3	 332	한신휴플러스	서구 가좌동
 261	46.2	3	 332	래미안퍼스티지	서초구 반포동
 262	46.2	3	 331	금호타운	광산구 월곡동
 263	46.2	3	 331	선비마을3단지	대덕구 송촌동
 264	46.1	3	 330	까치마을태화	계양구 작전동
 265	46.0	3	 328	롯데캐슬골드1단지	남구 야음동
 266	46.0	3	 328	엘지신개금(2-1)	부산진구 개금동
 267	46.0	3	 328	대구역 서희스타힐스	북구 칠성동2가
 268	46.0	3	 328	문지효성해링턴플레이스	유성구 문지동
 269	46.0	3	 327	보람아파트	노원구 상계동
 270	46.0	3	 327	신천자이	동구 신천동
 271	46.0	3	 326	반도유보라	달성군 유가읍 봉리
 272	45.9	3	 325	신창2차부영	광산구 신창동
 273	45.9	3	 325	회야리버	울주군 온양읍 망양리
 274	45.9	3	 324	성서보성화성타운	달서구 이곡동
 275	45.9	3	 324	종원팰리스빌	서구 금호동
 276	45.8	3	 323	벽산블루밍	관악구 봉천동
 277	45.8	3	 323	대곡역래미안	달성군 화원읍 구라리
 278	45.8	3	 323	연산더샵	연제구 연산동
 279	45.8	3	 322	과학마을청아람	달성군 구지면 응암리
 280	45.7	3	 321	에코메트로11	남동구 논현동
 281	45.7	3	 321	영남탑스빌	서구 마전동
 282	45.7	3	 321	아시아선수촌아파트	해운대구 반여동
 283	45.7	3	 320	한신	기장군 기장읍 동부리
 284	45.7	3	 320	관저더샵	서구 관저동
 285	45.7	3	 320	중흥	서구 금호동
 286	45.7	3	 320	열매마을4단지(계룡,현대)	유성구 지족동
 287	45.7	3	 319	삼익그린2차	강동구 명일동
 288	45.7	3	 319	에일린의 뜰	강서구 명지동
 289	45.7	3	 319	구봉마을9단지	서구 관저동
 290	45.6	3	 318	운서SKVIEWSkycity	중구 운서동
 291	45.6	3	 317	루원호반베르디움더센트럴	서구 가정동
 292	45.5	3	 316	화승	부산진구 부암동
 293	45.5	3	 316	연산롯데캐슬골드포레	연제구 연산동
 294	45.5	3	 316	극동스타클래스남산	중구 남산동
 295	45.5	3	 315	다사세천한라비발디	달성군 다사읍 세천리
 296	45.5	3	 315	개금아이파크	부산진구 개금동
 297	45.5	3	 315	트리풀시티(5단지)	유성구 상대동
 298	45.4	3	 314	주공5	노원구 중계동
 299	45.4	3	 314	삼성명가타운	달서구 파호동
 300	45.4	3	 314	월곡두산위브	성북구 하월곡동
 301	45.4	3	 314	절영아파트(208동-214동)	영도구 동삼동
 302	45.4	3	 313	수완지구호반베르디움1차	광산구 신가동
 303	45.4	3	 313	경동태원하이빌	울주군 범서읍 천상리
 304	45.4	3	 312	한가람	용산구 이촌동
 305	45.3	3	 311	신복현대	남구 무거동
 306	45.3	3	 311	상계주공7(고층)	노원구 상계동
 307	45.3	3	 310	유림노르웨이숲	북구 구포동
 308	45.2	3	 309	부영사랑으로	광산구 하남동
 309	45.2	3	 309	송도오션파크베르디움	연수구 송도동
 310	45.2	3	 309	e편한세상강변	중구 반구동
 311	45.2	3	 309	약사아이파크	중구 약사동
 312	45.2	3	 308	이지더원	기장군 정관읍 모전리
 313	45.2	3	 308	주공2단지	남동구 논현동
 314	45.2	3	 308	운암산코오롱하늘채	북구 동림동
 315	45.1	3	 307	중흥호반	서구 풍암동
 316	45.1	3	 307	남산자이하늘채	중구 남산동
 317	45.1	3	 307	센텀대림	해운대구 반여동
 318	45.1	3	 307	엘지	해운대구 좌동
 319	45.1	3	 306	힐스테이트본촌	북구 본촌동
 320	45.1	3	 305	세계수영선수촌 중흥에스-클래스 센트럴	광산구 우산동
 321	45.1	3	 305	구로두산	구로구 구로동
 322	45.1	3	 305	정관1차동원로얄듀크	기장군 정관읍 달산리
 323	45.1	3	 305	한솔그린빌	울주군 웅촌면 대복리
 324	45.1	3	 305	약수하이츠	중구 신당동
 325	45.0	3	 304	운남주공10단지	광산구 월곡동
 326	45.0	3	 304	청라29블럭호반베르디움	서구 청라동
 327	45.0	3	 303	동대구반도유보라	동구 신천동
 328	45.0	3	 303	전농SK	동대문구 전농동
 329	45.0	3	 303	복현푸르지오	북구 복현동
 330	44.9	3	 301	도두리마을동보	계양구 작전동
 331	44.9	3	 301	협성휴포레강북	북구 태전동
 332	44.8	3	 300	학마을영남	계양구 병방동
 333	44.8	3	 300	신동아	계양구 오류동
 334	44.8	3	 300	관악산휴먼시아2단지	관악구 신림동
 335	44.8	3	 300	삼산타운2단지	부평구 삼산동
 336	44.8	3	 300	하나로	서구 월평동
 337	44.8	3	 300	수영SKVIEW1단지	수영구 망미동
 338	44.8	3	 300	힐스테이트연산	연제구 연산동
 339	44.8	3	 299	장미(시영6)	노원구 하계동
 340	44.8	3	 299	한화2단지	부평구 산곡동
 341	44.8	3	 299	한가람	서구 탄방동
 342	44.8	3	 298	두산	관악구 봉천동
 343	44.8	3	 298	효천시티프라디움	남구 임암동
 344	44.8	3	 298	덕신동백	울주군 온산읍 덕신리
 345	44.7	3	 297	주공13단지(푸르내마을)	남동구 논현동
 346	44.7	3	 296	더힐시그니처	강서구 명지동
 347	44.7	3	 296	칠곡3화성타운	북구 동천동
 348	44.7	3	 296	반도보라	사상구 주례동
 349	44.6	3	 295	만수주공4단지	남동구 만수동
 350	44.6	3	 295	북죽곡엠코타운더솔레뉴	달성군 다사읍 세천리
 351	44.6	3	 295	효문코오롱하늘채	북구 효문동
 352	44.6	3	 294	울산번영로두산위브	남구 야음동
 353	44.6	3	 294	이스트시티1단지	동구 대동
 354	44.6	3	 294	글로벌캠퍼스푸르지오	연수구 송도동
 355	44.5	3	 293	수성롯데캐슬THEFIRST	수성구 수성동1가
 356	44.5	3	 292	한성2차	광산구 월곡동
 357	44.5	3	 292	어울림마을	남동구 간석동
 358	44.5	3	 292	부영그린타운(2단지)	북구 동천동
 359	44.5	3	 292	쌍용아진그린4	북구 천곡동
 360	44.5	3	 292	e편한세상사하	사하구 구평동
 361	44.5	3	 292	래미안길음센터피스	성북구 길음동
 362	44.5	3	 292	거제센트럴자이	연제구 거제동
 363	44.5	3	 291	포레나부산초읍	부산진구 초읍동
 364	44.4	3	 290	신대연코오롱하늘채	남구 용당동
 365	44.4	3	 290	화원이진캐스빌	달성군 화원읍 천내리
 366	44.4	3	 290	그린빌6단지	북구 국우동
 367	44.4	3	 290	힐스테이트연제	북구 연제동
 368	44.4	3	 290	신안실크벨리	서구 당하동
 369	44.4	3	 290	이편한세상금호파크힐스	성동구 금호동1가
 370	44.4	3	 289	다사랑	대덕구 목상동
 371	44.4	3	 289	율곡타운(주공1)	북구 두암동
 372	44.4	3	 289	관저더샵2	서구 관저동
 373	44.4	3	 289	복수센트럴자이	서구 복수동
 374	44.4	3	 289	래미안 옥수 리버젠	성동구 옥수동
 375	44.4	3	 289	해운대두산위브더제니스	해운대구 우동
 376	44.3	3	 288	힐스테이트 상도 센트럴파크	동작구 상도동
 377	44.3	3	 288	용현2단지금호타운	미추홀구 용현동
 378	44.3	3	 288	동아풍림	미추홀구 학익동
 379	44.3	3	 288	한신더휴웨스턴팰리스	북구 매천동
 380	44.3	3	 288	벽산블루밍메가씨티3단지	북구 운암동
 381	44.3	3	 287	힐스테이트리버파크	광산구 쌍암동
 382	44.3	3	 287	상계주공6(고층)	노원구 상계동
 383	44.3	3	 287	장안현대홈타운(336)	동대문구 장안동
 384	44.3	3	 287	래미안에스티움	영등포구 신길동
 385	44.2	3	 286	고덕센트럴IPARK	강동구 상일동
 386	44.2	3	 286	월배삼정그린코아포레스트	달서구 대천동
 387	44.2	3	 286	휴먼파크서희스타힐스	북구 각화동
 388	44.2	3	 286	U-스타시티일동미라주더스타2단지	북구 중산동
 389	44.2	3	 286	한신아파트상가동유치원동(103~109)	중랑구 중화동
 390	44.2	3	 285	삼각동그린타운	북구 삼각동
 391	44.2	3	 285	대동	서구 심곡동
 392	44.2	3	 285	위례24단지(꿈에그린)	송파구 장지동
 393	44.2	3	 285	울산온양일동미라주아파트	울주군 온양읍 대안리
 394	44.2	3	 285	주공3	중구 문화동
 395	44.2	3	 284	쌍용더플래티넘사직아시아드아파트	동래구 사직동
 396	44.2	3	 284	백양그린	사상구 모라동
 397	44.2	3	 284	구학마을	사상구 학장동
 398	44.2	3	 284	길음뉴타운4단지(e편한세상)	성북구 길음동
 399	44.2	3	 284	거제1차현대홈타운	연제구 거제동
 400	44.1	3	 283	수목원제일풍경채	달서구 대곡동
 401	44.1	3	 283	삼한골든뷰센트럴파크	부산진구 범전동
 402	44.1	3	 283	한일유엔아이	사상구 주례동
 403	44.1	3	 283	목화	사상구 학장동
 404	44.1	3	 283	검단우방아이유쉘	서구 금곡동
 405	44.1	3	 283	두산	성북구 석관동
 406	44.1	3	 283	송도풍림아이원1단지	연수구 송도동
 407	44.1	3	 282	산새마을	달서구 도원동
 408	44.1	3	 282	현대패밀리명덕	동구 서부동
 409	44.1	3	 282	보성서한타운	북구 동천동
 410	44.1	3	 282	매곡에듀파크에일린의뜰	북구 매곡동
 411	44.1	3	 282	초원	서구 만년동
 412	44.1	3	 282	연수주공2차	연수구 연수동
 413	44.0	3	 281	삼성한국형	달서구 호산동
 414	44.0	3	 281	서면롯데캐슬스카이	부산진구 전포동
 415	44.0	3	 281	울산송정반도유보라아이비파크	북구 송정동
 416	44.0	3	 281	이안광주첨단아파트	북구 용두동
 417	44.0	3	 281	남산롯데캐슬센트럴스카이	중구 남산동
 418	44.0	3	 280	강변	강서구 가양동
 419	44.0	3	 280	우성1차2차(294-35)	부평구 산곡동
 420	44.0	3	 280	아크로리버파크	서초구 반포동
 421	44.0	3	 280	송강마을2	유성구 송강동
 422	43.9	3	 279	신동아리버파크	동작구 노량진동
 423	43.9	3	 279	유성청구	북구 검단동
 424	43.9	3	 279	관저어반힐스	서구 관저동
 425	43.9	3	 279	레이크팰리스	송파구 잠실동
 426	43.9	3	 279	e편한세상울산온양	울주군 온양읍 망양리
 427	43.9	3	 278	더샵센트럴스타	부산진구 부전동
 428	43.9	3	 278	삼산주공미래타운4차	부평구 삼산동
 429	43.9	3	 278	옥수파크힐스101동~116동	성동구 옥수동
 430	43.9	3	 277	마곡13단지힐스테이트마스터	강서구 마곡동
 431	43.9	3	 277	상계주공16(고층)	노원구 상계동
 432	43.9	3	 277	창동주공3단지(해등마을)	도봉구 창동
 433	43.9	3	 277	유니버시아드선수촌2단지	북구 동변동
 434	43.9	3	 277	매곡현대아파트(101~106동)	북구 매곡동
 435	43.9	3	 277	길음뉴타운2단지푸르지오	성북구 길음동
 436	43.8	3	 276	주공	계양구 계산동
 437	43.8	3	 276	논현센트럴뷰	남동구 논현동
 438	43.8	3	 276	현대패밀리서부2	동구 서부동
 439	43.8	3	 276	십정뜨란채1단지	부평구 십정동
 440	43.8	3	 276	갈마	서구 갈마동
 441	43.8	3	 276	길음동동부센트레빌(1278-0)	성북구 길음동
 442	43.8	3	 276	삼성	중구 오류동
 443	43.8	3	 275	동보	계양구 작전동
 444	43.7	3	 274	대실역태왕아너스	달성군 다사읍 죽곡리
 445	43.7	3	 274	라인	북구 문흥동
 446	43.7	3	 274	향촌	서구 둔산동
 447	43.7	3	 274	더샵그린스퀘어	연수구 송도동
 448	43.7	3	 273	고덕롯데캐슬베네루체	강동구 상일동
 449	43.7	3	 273	만수주공5단지	남동구 만수동
 450	43.7	3	 273	주공2	노원구 중계동
 451	43.7	3	 273	서원	도봉구 도봉동
 452	43.7	3	 273	무등산그린웰로제비앙	동구 산수동
 453	43.7	3	 273	코오롱하늘채2차	북구 화명동
 454	43.7	3	 273	청라국제금융단지한양수자인레이크블루	서구 청라동
 455	43.7	3	 273	대안IPARK	울주군 온양읍 대안리
 456	43.6	3	 272	신정현대홈타운3	남구 신정동
 457	43.6	3	 272	선비마을4단지	대덕구 송촌동
 458	43.6	3	 272	대신푸르지오1차	서구 서대신동1가
 459	43.6	3	 272	중리롯데캐슬	서구 중리동
 460	43.6	3	 272	서울숲 한신 더 휴	성동구 행당동
 461	43.6	3	 272	풍림아이원2단지1차	중구 운서동
 462	43.6	3	 272	메가센텀한화꿈에그린	해운대구 반여동
 463	43.6	3	 271	더샵명지퍼스트월드3단지	강서구 명지동
 464	43.6	3	 271	우미린2차	광산구 수완동
 465	43.6	3	 271	구서동롯데캐슬골드2단지(1049)	금정구 구서동
 466	43.6	3	 271	성서2동서화성	달서구 이곡동
 467	43.6	3	 270	신월시영	양천구 신월동
